"ParticipantID","Age","Location","DietType","LocalFoodFrequency","TransportationMode","EnergySource","HomeType","HomeSize","ClothingFrequency","SustainableBrands","EnvironmentalAwareness","CommunityInvolvement","MonthlyElectricityConsumption","MonthlyWaterConsumption","Gender","UsingPlasticProducts","DisposalMethods","PhysicalActivities","Rating","energy_score","transportation_score","disposal_score","electricity_score","water_score","sustainability_score"
25,49,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1450,"Sometimes",TRUE,4,"Moderate",170,2100,"Female","Rarely","Recycling","High",5,3,3,2,2.92941176470588,2.5,2.74294117647059
26,37,"Urban","Balanced","Sometimes","Public Transit","Mixed","Other",680,"Often",FALSE,3,"Low",270,3300,"Prefer not to say","Sometimes","Combination","Moderate",3,2,2,NA,1.84444444444444,1.59090909090909,NA
27,62,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2300,"Always",FALSE,1,NA,460,5100,"Female","Often","Landfill","None",1,1,1,1,1.08260869565217,1.02941176470588,1.01120204603581
28,22,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Apartment",880,"Rarely",TRUE,5,"High",110,1600,"Male",NA,"Composting","High",5,3,3,3,4.52727272727273,3.28125,3.18085227272727
29,40,"Suburban","Balanced","Often","Public Transit","Renewable","House",1700,"Sometimes",TRUE,4,"Moderate",210,2900,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.37142857142857,1.81034482758621,2.31817733990148
30,53,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","Other",720,"Often",TRUE,3,"Low",340,3900,"Male","Rarely","Combination","Low",3,2,3,NA,1.46470588235294,1.34615384615385,NA
31,33,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2100,"Always",FALSE,2,NA,390,4300,"Non-Binary","Often","Landfill","None",1,1,1,1,1.27692307692308,1.22093023255814,1.04978533094812
32,45,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","Apartment",980,"Rarely",TRUE,4,"High",140,1950,"Female",NA,"Composting","High",5,3,3,3,3.55714285714286,2.69230769230769,3.02494505494505
33,28,"Urban","Balanced","Sometimes","Public Transit","Mixed","House",1550,"Often",TRUE,3,"Low",310,3600,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.60645161290323,1.45833333333333,1.90647849462366
34,60,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",780,"Always",FALSE,1,NA,430,4900,"Male","Often","Landfill","None",1,1,1,1,1.15813953488372,1.07142857142857,1.02295681063123
35,24,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","House",1250,"Rarely",TRUE,5,"High",100,1550,"Female",NA,"Composting","High",5,3,3,3,4.98,3.38709677419355,3.23670967741936
36,41,"Suburban","Balanced","Often","Public Transit","Renewable","Apartment",1080,"Sometimes",TRUE,4,"Moderate",230,3100,"Prefer not to say","Sometimes","Recycling","Moderate",3,3,2,2,2.16521739130435,1.69354838709677,2.28587657784011
37,62,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1950,"Often",TRUE,3,"Moderate",330,3900,"Female","Rarely","Combination","Low",3,2,3,NA,1.50909090909091,1.34615384615385,NA
38,33,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",670,"Always",FALSE,2,NA,410,4700,"Male","Often","Landfill","None",1,1,1,1,1.21463414634146,1.11702127659574,1.03316554229372
39,46,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1500,"Rarely",TRUE,4,"High",150,2000,"Male",NA,"Composting","High",5,3,3,3,3.32,2.625,2.9945
40,29,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",920,"Often",TRUE,3,"Low",270,3300,"Female","Sometimes","Recycling","Moderate",3,2,2,2,1.84444444444444,1.59090909090909,1.94353535353535
41,56,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2350,"Always",FALSE,1,NA,470,5200,"Non-Binary","Often","Landfill","None",1,1,1,1,1.05957446808511,1.00961538461538,1.00691898527005
42,23,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Other",620,"Rarely",TRUE,5,"High",90,1300,"Female",NA,"Composting","High",5,3,3,3,5.53333333333333,4.03846153846154,3.35717948717949
43,40,"Suburban","Balanced","Often","Public Transit","Renewable","House",1650,"Sometimes",TRUE,4,"Moderate",220,2900,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.26363636363636,1.81034482758621,2.30739811912226
44,53,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",1980,"Often",TRUE,3,"Moderate",360,4100,"Male","Rarely","Combination","Moderate",4,2,3,NA,1.38333333333333,1.28048780487805,NA
45,30,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1130,"Always",FALSE,2,NA,370,4200,"Male","Often","Landfill","None",1,1,1,1,1.34594594594595,1.25,1.05959459459459
46,47,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1480,"Sometimes",TRUE,4,"High",160,2100,"Prefer not to say","Rarely","Recycling","High",5,3,3,2,3.1125,2.5,2.76125
47,38,"Urban","Balanced","Sometimes","Public Transit","Mixed","Other",690,"Often",FALSE,3,"Low",280,3400,"Female","Sometimes","Combination","Moderate",3,2,2,NA,1.77857142857143,1.54411764705882,NA
48,63,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2250,"Always",FALSE,1,NA,440,5000,"Male","Often","Landfill","None",1,1,1,1,1.13181818181818,1.05,1.01818181818182
49,21,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Apartment",900,"Rarely",TRUE,5,"High",100,1400,"Female",NA,"Composting","High",5,3,3,3,4.98,3.75,3.273
50,39,"Suburban","Balanced","Often","Public Transit","Renewable","House",1750,"Sometimes",TRUE,4,"Moderate",230,3000,"Male","Sometimes","Recycling","Moderate",4,3,2,2,2.16521739130435,1.75,2.29152173913043
51,54,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","Other",730,"Often",TRUE,3,"Low",350,4050,"Male","Rarely","Combination","Low",3,2,3,NA,1.42285714285714,1.2962962962963,NA
52,34,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2050,"Always",FALSE,2,NA,380,4300,"Non-Binary","Often","Landfill","None",1,1,1,1,1.31052631578947,1.22093023255814,1.05314565483476
53,45,"Suburban","Mostly Plant-Based","Often","Bike","Renewable","House",1350,"Rarely",TRUE,5,"High",130,1850,"Female",NA,"Composting","High",5,3,3,3,3.83076923076923,2.83783783783784,3.06686070686071
54,28,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",950,"Often",TRUE,3,"Moderate",290,3450,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.71724137931034,1.52173913043478,1.92389805097451
55,60,"Rural","Mostly Plant-Based","Often","Walk","Renewable","House",1800,"Sometimes",TRUE,4,"High",200,2800,"Female","Rarely","Recycling","High",5,3,3,2,2.49,1.875,2.6365
56,24,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1100,"Often",FALSE,2,NA,370,4200,"Male","Often","Landfill","None",1,1,1,1,1.34594594594595,1.25,1.05959459459459
57,41,"Suburban","Balanced","Sometimes","Bike","Mixed","House",1450,"Sometimes",TRUE,3,"Low",320,3700,"Non-Binary","Rarely","Combination","Moderate",3,2,3,NA,1.55625,1.41891891891892,NA
58,57,"Rural","Mostly Plant-Based","Often","Walk","Renewable","Other",700,"Rarely",TRUE,4,"Moderate",170,2500,"Male",NA,"Composting","High",5,3,3,3,2.92941176470588,2.1,2.90294117647059
59,32,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2200,"Often",FALSE,2,NA,410,4700,"Male","Often","Landfill","None",1,1,1,1,1.21463414634146,1.11702127659574,1.03316554229372
60,49,"Suburban","Mostly Plant-Based","Often","Public Transit","Renewable","Apartment",1020,"Sometimes",TRUE,4,"High",180,2300,"Female","Rarely","Recycling","High",5,3,2,2,2.76666666666667,2.28260869565217,2.40492753623188
61,36,"Urban","Balanced","Sometimes","Bike","Mixed","House",1500,"Sometimes",TRUE,3,"Moderate",280,3400,"Prefer not to say","Rarely","Combination","Moderate",3,2,3,NA,1.77857142857143,1.54411764705882,NA
62,61,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",760,"Often",FALSE,1,NA,450,5000,"Female","Often","Landfill","None",1,1,1,1,1.10666666666667,1.05,1.01566666666667
63,27,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","House",1280,"Rarely",TRUE,5,"High",110,1600,"Male",NA,"Composting","High",5,3,3,3,4.52727272727273,3.28125,3.18085227272727
64,44,"Suburban","Balanced","Often","Public Transit","Renewable","Apartment",1070,"Sometimes",TRUE,4,"Moderate",240,3100,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.075,1.69354838709677,2.27685483870968
65,58,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1850,"Often",TRUE,3,"Low",330,3900,"Male","Rarely","Combination","Low",3,2,3,NA,1.50909090909091,1.34615384615385,NA
66,31,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",660,"Always",FALSE,2,NA,390,4400,"Non-Binary","Often","Landfill","None",1,1,1,1,1.27692307692308,1.19318181818182,1.04701048951049
67,48,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1420,"Sometimes",TRUE,4,"High",150,2050,"Male",NA,"Composting","High",5,3,3,3,3.32,2.5609756097561,2.98809756097561
68,35,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",930,"Often",FALSE,3,"Low",290,3500,"Female","Sometimes","Recycling","Moderate",3,2,2,2,1.71724137931034,1.5,1.92172413793103
69,62,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2320,"Always",FALSE,1,NA,460,5100,"Male","Often","Landfill","None",1,1,1,1,1.08260869565217,1.02941176470588,1.01120204603581
70,22,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Other",610,"Rarely",TRUE,5,"High",95,1350,"Female",NA,"Composting","High",5,3,3,3,5.24210526315789,3.88888888888889,3.31309941520468
71,40,"Suburban","Balanced","Often","Public Transit","Renewable","House",1680,"Sometimes",TRUE,4,"Moderate",215,2850,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.31627906976744,1.8421052631579,2.31583843329253
72,53,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",1960,"Often",TRUE,3,"Moderate",355,4050,"Male","Rarely","Combination","Moderate",4,2,3,NA,1.40281690140845,1.2962962962963,NA
73,34,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2080,"Always",FALSE,2,"Low",390,4400,"Male","Often","Landfill","None",1,1,1,1,1.27692307692308,1.19318181818182,1.04701048951049
74,45,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","Apartment",990,"Rarely",TRUE,4,"High",145,1950,"Female",NA,"Composting","High",5,3,3,3,3.43448275862069,2.69230769230769,3.01267904509284
75,28,"Urban","Balanced","Sometimes","Public Transit","Mixed","House",1530,"Often",TRUE,3,"Moderate",295,3500,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.68813559322034,1.5,1.91881355932203
76,60,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1880,"Often",TRUE,3,"Moderate",335,3950,"Female","Rarely","Combination","Moderate",4,2,3,NA,1.4865671641791,1.32911392405063,NA
77,24,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1110,"Always",FALSE,2,"Low",375,4250,"Male","Often","Landfill","Low",1,1,1,1,1.328,1.23529411764706,1.05632941176471
78,41,"Suburban","Balanced","Often","Public Transit","Renewable","House",1630,"Sometimes",TRUE,4,"Moderate",225,2950,"Non-Binary","Sometimes","Recycling","Moderate",4,3,2,2,2.21333333333333,1.77966101694915,2.29929943502825
79,57,"Rural","Mostly Plant-Based","Sometimes","Walk","Renewable","Other",710,"Rarely",TRUE,4,"Moderate",175,2550,"Female",NA,"Composting","High",5,3,3,3,2.84571428571429,2.05882352941176,2.8904537815126
80,32,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2150,"Often",FALSE,2,NA,405,4650,"Prefer not to say","Often","Landfill","None",1,1,1,1,1.22962962962963,1.12903225806452,1.03586618876941
81,49,"Suburban","Mostly Plant-Based","Often","Bike","Renewable","Apartment",1010,"Sometimes",TRUE,5,"High",125,1850,"Male","Rarely","Composting","High",5,3,3,3,3.984,2.83783783783784,3.08218378378378
82,36,"Urban","Balanced","Sometimes","Public Transit","Mixed","House",1570,"Often",FALSE,3,"Low",305,3550,"Female","Sometimes","Recycling","Moderate",3,2,2,2,1.6327868852459,1.47887323943662,1.91116601246825
83,61,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",770,"Always",FALSE,1,NA,445,4950,"Male","Often","Landfill","None",1,1,1,1,1.11910112359551,1.06060606060606,1.01797071842016
84,27,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","House",1320,"Rarely",TRUE,4,"Moderate",165,2250,"Female",NA,"Composting","High",5,3,3,3,3.01818181818182,2.33333333333333,2.93515151515152
85,44,"Suburban","Balanced","Often","Public Transit","Renewable","Apartment",1060,"Sometimes",TRUE,4,"High",235,3050,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.11914893617021,1.72131147540984,2.284046041158
86,58,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1870,"Often",TRUE,3,"Low",325,3850,"Male","Rarely","Combination","Low",3,2,3,NA,1.53230769230769,1.36363636363636,NA
87,31,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",655,"Always",FALSE,2,NA,405,4550,"Non-Binary","Often","Landfill","None",1,1,1,1,1.22962962962963,1.15384615384615,1.03834757834758
88,48,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1430,"Sometimes",TRUE,5,"High",155,2000,"Male","Rarely","Composting","High",5,3,3,3,3.21290322580645,2.625,2.98379032258065
89,35,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",940,"Often",TRUE,3,"Moderate",285,3450,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.74736842105263,1.52173913043478,1.92691075514874
90,62,"Rural","Mostly Plant-Based","Often","Walk","Renewable","House",1820,"Sometimes",TRUE,4,"High",205,2850,"Female","Rarely","Recycling","High",5,3,3,2,2.42926829268293,1.8421052631579,2.62713735558408
91,22,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1120,"Often",FALSE,2,NA,365,4150,"Male","Often","Landfill","None",1,1,1,1,1.36438356164384,1.26506024096386,1.06294438026077
92,40,"Suburban","Balanced","Sometimes","Bike","Mixed","House",1470,"Sometimes",TRUE,3,"Moderate",315,3650,"Non-Binary","Rarely","Combination","Moderate",3,2,3,NA,1.58095238095238,1.43835616438356,NA
93,55,"Rural","Mostly Plant-Based","Often","Walk","Renewable","Other",715,"Rarely",TRUE,4,"High",185,2650,"Female",NA,"Composting","High",5,3,3,3,2.69189189189189,1.9811320754717,2.86730239673636
94,33,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2180,"Often",FALSE,2,"Low",425,4750,"Male","Often","Landfill","Low",1,1,1,1,1.17176470588235,1.10526315789474,1.02770278637771
95,46,"Suburban","Mostly Plant-Based","Often","Public Transit","Renewable","Apartment",1030,"Sometimes",TRUE,4,"Moderate",245,3150,"Prefer not to say","Sometimes","Recycling","Moderate",4,3,2,2,2.03265306122449,1.66666666666667,2.26993197278912
96,29,"Urban","Balanced","Sometimes","Bike","Mixed","House",1520,"Sometimes",TRUE,3,"Low",320,3700,"Female","Rarely","Combination","Moderate",3,2,3,NA,1.55625,1.41891891891892,NA
97,56,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",755,"Often",FALSE,1,NA,440,4900,"Male","Often","Landfill","None",1,1,1,1,1.13181818181818,1.07142857142857,1.02032467532468
98,23,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","House",1270,"Rarely",TRUE,5,"High",105,1500,"Female",NA,"Composting","High",5,3,3,3,4.74285714285714,3.5,3.22428571428571
99,40,"Suburban","Balanced","Often","Public Transit","Renewable","Apartment",1090,"Sometimes",TRUE,4,"Moderate",250,3200,"Female","Sometimes","Recycling","Moderate",4,3,2,2,1.992,1.640625,2.2632625
100,53,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1940,"Often",TRUE,3,"Low",345,3950,"Male","Rarely","Combination","Low",3,2,3,NA,1.44347826086957,1.32911392405063,NA
101,38,"Urban","Mostly Plant-Based","Often","Walk","Renewable","House",1380,"Rarely",TRUE,4,"Moderate",180,2300,"Female",NA,"Composting","High",5,3,3,3,2.76666666666667,2.28260869565217,2.90492753623188
102,25,"Suburban","Balanced","Sometimes","Public Transit","Mixed","Apartment",980,"Sometimes",FALSE,3,"Low",295,3450,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.68813559322034,1.52173913043478,1.92098747236551
103,60,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1920,"Often",TRUE,3,"Moderate",340,3900,"Female","Rarely","Combination","Moderate",4,2,3,NA,1.46470588235294,1.34615384615385,NA
104,29,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",690,"Always",FALSE,2,NA,420,4800,"Prefer not to say","Often","Landfill","None",1,1,1,1,1.18571428571429,1.09375,1.02794642857143
105,47,"Suburban","Mostly Plant-Based","Often","Public Transit","Renewable","House",1580,"Sometimes",TRUE,4,"High",210,2800,"Male","Rarely","Recycling","High",5,3,2,2,2.37142857142857,1.875,2.32464285714286
106,34,"Urban","Balanced","Sometimes","Bike","Mixed","Apartment",960,"Often",TRUE,3,"Low",285,3350,"Female","Sometimes","Combination","Moderate",3,2,3,NA,1.74736842105263,1.56716417910448,NA
107,59,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2280,"Always",FALSE,1,NA,465,5150,"Male","Often","Landfill","None",1,1,1,1,1.07096774193548,1.01941747572816,1.00903852176636
108,26,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","Other",630,"Rarely",TRUE,5,"High",105,1550,"Female",NA,"Composting","High",5,3,3,3,4.74285714285714,3.38709677419355,3.21299539170507
109,43,"Suburban","Balanced","Often","Public Transit","Renewable","House",1660,"Sometimes",TRUE,4,"Moderate",225,2950,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.21333333333333,1.77966101694915,2.29929943502825
110,56,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",1990,"Often",TRUE,3,"Moderate",365,4150,"Male","Rarely","Combination","Moderate",4,2,3,NA,1.36438356164384,1.26506024096386,NA
111,31,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1140,"Always",FALSE,2,NA,385,4350,"Non-Binary","Often","Landfill","None",1,1,1,1,1.29350649350649,1.20689655172414,1.05004030452306
112,48,"Suburban","Mostly Plant-Based","Often","Bike","Renewable","House",1390,"Sometimes",TRUE,4,"High",145,1950,"Male","Rarely","Composting","High",5,3,3,3,3.43448275862069,2.69230769230769,3.01267904509284
113,35,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",970,"Often",FALSE,3,"Low",295,3400,"Female","Sometimes","Recycling","Moderate",3,2,2,2,1.68813559322034,1.54411764705882,1.92322532402792
114,60,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",765,"Always",FALSE,1,NA,435,4900,"Male","Often","Landfill","None",1,1,1,1,1.1448275862069,1.07142857142857,1.02162561576355
115,27,"Urban","Mostly Plant-Based",NA,"Walk","Renewable","House",1310,"Rarely",TRUE,5,"High",115,1650,"Female",NA,"Composting","High",5,3,3,3,4.3304347826087,3.18181818181818,3.15122529644269
116,44,"Suburban","Balanced","Often","Public Transit","Renewable","Apartment",1090,"Sometimes",TRUE,4,"Moderate",240,3000,"Male","Sometimes","Recycling","Moderate",4,3,2,2,2.075,1.75,2.2825
117,59,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1860,"Often",TRUE,3,"Low",330,3800,"Female","Rarely","Combination","Low",3,2,3,NA,1.50909090909091,1.38157894736842,NA
118,32,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Other",665,"Always",FALSE,2,NA,415,4650,"Male","Often","Landfill","None",1,1,1,1,1.2,1.12903225806452,1.03290322580645
119,49,"Suburban","Mostly Plant-Based","Often","Walk","Renewable","House",1440,"Rarely",TRUE,5,"High",135,1900,"Female",NA,"Composting","High",5,3,3,3,3.68888888888889,2.76315789473684,3.04520467836257
120,36,"Urban","Balanced","Sometimes","Public Transit","Mixed","Apartment",950,"Often",TRUE,3,"Low",280,3300,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.77857142857143,1.59090909090909,1.93694805194805
121,61,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2290,"Always",FALSE,1,NA,475,5250,"Non-Binary","Often","Landfill","None",1,1,1,1,1.04842105263158,1,1.00484210526316
122,28,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Other",640,"Rarely",TRUE,5,"High",100,1450,"Female",NA,"Composting","High",5,3,3,3,4.98,3.62068965517241,3.26006896551724
123,45,"Suburban","Balanced","Often","Public Transit","Renewable","House",1690,"Sometimes",TRUE,4,"Moderate",220,2900,"Female","Sometimes","Recycling","Moderate",4,3,2,2,2.26363636363636,1.81034482758621,2.30739811912226
124,58,"Rural","Mostly Plant-Based","Sometimes","Walk","Mixed","House",1970,"Often",TRUE,3,"Low",355,4000,"Male","Rarely","Combination","Low",3,2,3,NA,1.40281690140845,1.3125,NA
125,31,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","Apartment",1150,"Always",FALSE,2,NA,395,4450,"Male","Often","Landfill","None",1,1,1,1,1.26075949367089,1.17977528089888,1.04405347745698
126,42,"Urban","Mostly Plant-Based","Often","Walk","Renewable","House",1360,"Rarely",TRUE,4,"Moderate",190,2400,"Female",NA,"Composting","High",5,3,3,3,2.62105263157895,2.1875,2.88085526315789
127,27,"Suburban","Balanced","Sometimes","Public Transit","Mixed","Apartment",990,"Sometimes",TRUE,3,"Low",300,3500,"Male","Sometimes","Recycling","Moderate",3,2,2,2,1.66,1.5,1.916
128,59,"Rural","Mostly Plant-Based","Sometimes","Bike","Mixed","House",1910,"Often",TRUE,3,"Moderate",335,3850,"Female","Rarely","Combination","Moderate",4,2,3,NA,1.4865671641791,1.36363636363636,NA
